NPS, Seat Retainer Upstream,Seat Retainer Downstream,Pressure
2,155,760,150
2.5,170,200,150
3,185,90,150
4,275,320,150
5,550,650,150
6,620,1000,150
8,1280,1500,150
10,2400,2800,150
12,3500,4100,150
14,6400,6300,150
16,7700,9100,150
18,71900,74000,150
20,15300,18000,150
24,24650,290000,150
28,34850,41000,150
30,39950,47000,150
32,45000,45000,150
36,54000,54000,150
40,62000,62000,150
42,71000,85000,150
48,98000,98000,150
54,7136000,136000,150
60,175000,4497,150
2,70,220,200
2.5,190,240,200
3,210,260,200
4,300,370,200
5,640,800,200
6,70,960,200
8,1400,1700,200
10,2640,3300,200
12,4000,5000,200
14,620,740,200
16,9040,11300,200
18,136,17000,200
20,17300,21300,200
24,27680,27680,200
28,37600,47000,200
30,4296,53700,200
32,53000,48500,200
36,64000,64300,200
40,73000,73600,200
42,34000,105000,200
48,115000,121600,200
54,160000,169600,200
60,175000,175000,200
2,705,260,250
2.5,210,280,250
3,225,300,250
4,315,420,250
5,705,940,250
6,25,1700,250
8,1500,11950,250
10,2820,3760,250
12,4400,5900,250
14,640,3600,250
16,10300,13500,250
18,75000,20000,250
20,18500,24700,250
24,27680,27680,250
28,144300,59200,250
30,50800,6700,250
32,50800,57600,250
36,27680,73500,250
40,192000,82500,250
42,95250,127000,250
48,152,142500,250
54,212000,98000,250
60,175000,175000,250
2,200,280,285
2.5,210,300,285
3,230,20,285
4,320,460,285
5,730,1040,285
6,840,7200,285
8,1570,2100,285
10,2870,4100,285
12,4550,6500,285
14,665,9500,285
16,10500,15000,285
18,15400,22000,285
20,27680,27000,285
24,30800,44000,285
28,44500,63500,285
30,2500,75000,285
32,27680,5800,285
36,27680,7000,285
40,110000,184700,285
42,1000,143000,285
48,190000,151900,285
54,265000,21400,285
60,175000,175000,285
