NPS, Seat Retainer Upstream,Seat Retainer Downstream,Pressure
2,155,760,0 - 150
2.5,170,200,0 - 150
3,185,90,0 - 150
4,275,320,0 - 150
5,550,650,0 - 150
6,620,1000,0 - 150
8,1280,1500,0 - 150
10,2400,2800,0 - 150
12,3500,4100,0 - 150
14,6400,6300,0 - 150
16,7700,9100,0 - 150
18,71900,74000,0 - 150
20,15300,18000,0 - 150
24,24650,290000,0 - 150
28,34850,41000,0 - 150
30,39950,47000,0 - 150
32,45000,45000,0 - 150
36,54000,54000,0 - 150
40,62000,62000,0 - 150
42,71000,85000,0 - 150
48,98000,98000,0 - 150
54,7136000,136000,0 - 150
60,175000,4497,0 - 150
2,70,220,150 - 200
2.5,190,240,150 - 200
3,210,260,150 - 200
4,300,370,150 - 200
5,640,800,150 - 200
6,70,960,150 - 200
8,1400,1700,150 - 200
10,2640,3300,150 - 200
12,4000,5000,150 - 200
14,620,740,150 - 200
16,9040,11300,150 - 200
18,136,17000,150 - 200
20,17300,21300,150 - 200
24,27680,27680,150 - 200
28,37600,47000,150 - 200
30,4296,53700,150 - 200
32,53000,48500,150 - 200
36,64000,64300,150 - 200
40,73000,73600,150 - 200
42,34000,105000,150 - 200
48,115000,121600,150 - 200
54,160000,169600,150 - 200
60,175000,175000,150 - 200
2,705,260,200 - 250
2.5,210,280,200 - 250
3,225,300,200 - 250
4,315,420,200 - 250
5,705,940,200 - 250
6,25,1700,200 - 250
8,1500,11950,200 - 250
10,2820,3760,200 - 250
12,4400,5900,200 - 250
14,640,3600,200 - 250
16,10300,13500,200 - 250
18,75000,20000,200 - 250
20,18500,24700,200 - 250
24,27680,27680,200 - 250
28,144300,59200,200 - 250
30,50800,6700,200 - 250
32,50800,57600,200 - 250
36,27680,73500,200 - 250
40,192000,82500,200 - 250
42,95250,127000,200 - 250
48,152,142500,200 - 250
54,212000,98000,200 - 250
60,175000,175000,200 - 250
2,200,280,250 - 285
2.5,210,300,250 - 285
3,230,20,250 - 285
4,320,460,250 - 285
5,730,1040,250 - 285
6,840,7200,250 - 285
8,1570,2100,250 - 285
10,2870,4100,250 - 285
12,4550,6500,250 - 285
14,665,9500,250 - 285
16,10500,15000,250 - 285
18,15400,22000,250 - 285
20,27680,27000,250 - 285
24,30800,44000,250 - 285
28,44500,63500,250 - 285
30,2500,75000,250 - 285
32,27680,5800,250 - 285
36,27680,7000,250 - 285
40,110000,184700,250 - 285
42,1000,143000,250 - 285
48,190000,151900,250 - 285
54,265000,21400,250 - 285
60,175000,175000,250 - 285
